gene1,gene2,lag,p-value
TCF12,CDKL5,1,0.00023110900958951154
TGFB2,ASCL1,1,5.110184322883175e-06
UBE3B,PEX2,1,0.00020360807055933106
UBE3B,RAB40AL,1,9.086218346893582e-05
UBE3B,SOX11,1,0.00025274047474482944
UNC80,IRF6,1,0.00022175116848753058
UNC80,LMX1B,1,0.0003097305176204831
UNC80,SLC45A1,1,0.00013317217362254378
UPB1,CEP104,1,2.4298424214397585e-05
ADPRHL2,NOTCH2,1,0.00018286358956682986
AK1,SLC16A2,1,0.00017834946330398882
ANO5,TP63,1,0.00017709596343174424
APOPT1,TGFB2,1,0.00015805647529995156
ARID2,HDAC4,1,0.0002937089004785352
ASCL1,FANCC,1,0.00022213777364292928
ASH1L,EP300,1,7.842684550146482e-05
ATP1A3,MSX2,1,0.00011997539396113175
ATP2A2,TCF12,1,0.00026902299610371107
BBS12,DYNC1H1,1,0.0003052947959013447
BGN,MMP13,1,3.6786756869903934e-06
BGN,PACS2,1,2.272035473881225e-06
BHLHA9,SCN11A,1,0.00019205204216909808
BRF1,SC5D,1,0.00018669615693706163
CASR,TP63,1,1.5056175906523358e-05
CEP104,MGAT2,1,0.00028254364827915427
COL6A1,DYNC1H1,1,0.000307336102367195
CRADD,MNX1,1,5.718724048946407e-05
DOLK,ATP2A2,1,9.580678798096758e-05
DPP6,EBP,1,0.00020616150401548504
EBP,UBE3B,1,0.00010272129594535078
EOGT,ITPR1,1,0.0002924220855946392
EOGT,SPR,1,0.000277209292052164
ERCC6L2,NBAS,1,1.2160008585407686e-05
FAM20C,GRM6,1,0.0001677496968390714
FAM20C,MSX2,1,0.00011388536958591004
FAM20C,TAF2,1,0.0001827354542915089
FBXO31,DDB2,1,7.019413645224265e-05
FUT8,SLC12A6,1,0.00013580513998986098
GJA1,GLB1,1,0.00028927637107547394
GLB1,FOXRED1,1,2.429805713362452e-05
GNPAT,KIF2A,1,6.150974847504871e-05
GNPAT,NDUFAF2,1,5.321641135363899e-05
GPAA1,FANCC,1,0.00012544326796728566
GRIK2,SLC27A4,1,0.00031762417487084997
GRIK2,TGFB2,1,0.00022195458224038108
GTF2H5,NBAS,1,0.0002733234664658007
HDAC4,SC5D,1,6.01075814162985e-06
HDAC8,RHOBTB2,1,0.00020149956213860547
HYDIN,TGFB2,1,2.6453767136960122e-05
IRF6,DDB2,1,7.541404476639273e-05
IRX5,EBP,1,8.11316051178627e-05
LARP7,SLC12A6,1,0.00031161242044234957
LMX1B,GLB1,1,5.97851583490796e-05
MAF,MSX2,1,3.121429978396434e-05
MMAA,NOTCH2,1,1.7529739455802206e-06
MPDU1,ACO2,1,0.0001028004393621422
MTHFR,SC5D,1,0.00028766683296200916
MTM1,NAA15,1,0.00010300764479822073
NKX3-2,ARHGEF9,1,0.00029089903928340136
NKX3-2,EOGT,1,0.0002813115329253697
NOTCH2,SC5D,1,3.311192489717191e-05
NSDHL,COL6A1,1,0.0001989330361726265
NSDHL,FTO,1,0.0002222752614257982
NSDHL,RRM2B,1,9.781403203305833e-05
OTUD6B,MGAT2,1,5.498052504432879e-05
PACS1,DNAJC19,1,0.0001387148619109584
PACS1,SLC16A2,1,0.0001421181400176845
PACS1,SYNJ1,1,0.00023695898156629534
PCCB,CEP104,1,0.00026314196446792826
PCGF2,ARHGEF9,1,0.00021725381011552334
PET100,PKD1L1,1,4.485202579466144e-05
