gene1,gene2,lag,p-value
ABCC6,ACBD6,1,0.32799769643150734
ABCC6,ACO2,1,0.560080526507498
ABCC6,ACOX1,1,0.05448889356483878
ABCC6,ACP5,1,0.7784552513320949
ABCC6,ACSL4,1,0.9240968846538813
ABCC6,ACTA2,1,0.3517900781674017
ABCC6,ACTB,1,0.06142676174150707
ABCC6,ACTG1,1,0.6308673259346662
ABCC6,ACTL6A,1,0.431010266521571
ABCC6,ACVR1,1,0.7287851122073955
ABCC6,ACY1,1,0.13983251637802135
ABCC6,ADA,1,0.4221487579905479
ABCC6,ADAR,1,0.6302568061719546
ABCC6,ADAT3,1,0.8989303840038749
ABCC6,ADCK3,1,0.2770816701467582
ABCC6,ADCY5,1,0.21354096622147853
ABCC6,ADGRG1,1,0.9314337843079019
ABCC6,ADGRG6,1,0.7453093671252868
ABCC6,ADK,1,0.4864415542372014
ABCC6,ADNP,1,0.3550824404107149
ABCC6,ADPRHL2,1,0.9602370915710119
ABCC6,ADRA2B,1,0.7523582857041965
ABCC6,ADSL,1,0.5199063817686387
ABCC6,AFF2,1,0.46355878147349394
ABCC6,AFF4,1,0.038720473565912863
ABCC6,AFG3L2,1,0.5386779777680868
ABCC6,AGA,1,0.2522269944553686
ABCC6,AGL,1,0.7506083758218042
ABCC6,AGPS,1,0.04047169359104135
ABCC6,AGTR2,NaN,NaN
ABCC6,AGXT,1,0.5692062263418366
ABCC6,AHCY,1,0.084794308495482
ABCC6,AHDC1,1,0.28374174306637157
ABCC6,AHI1,1,0.19464085465923217
ABCC6,AIFM1,1,0.14431019088756855
ABCC6,AIMP1,1,0.15585069675696733
ABCC6,AIPL1,1,0.45166960938770223
ABCC6,AIRE,1,0.09545248415777043
ABCC6,AK1,1,0.766981999985737
ABCC6,AK2,1,0.3415428824752756
ABCC6,AKR1D1,1,0.6733348353308257
ABCC6,AKT1,1,0.6977834115836921
ABCC6,AKT3,1,0.5421237526179363
ABCC6,ALAD,1,0.39935032714349245
ABCC6,ALDH18A1,1,0.3310861853256606
ABCC6,ALDH3A2,1,0.24764116279028295
ABCC6,ALDH4A1,1,0.10914518696326339
ABCC6,ALDH5A1,1,0.17618174104937182
ABCC6,ALDH7A1,1,0.17446227882700505
ABCC6,ALDOA,1,0.8939642491350781
ABCC6,ALDOB,1,0.17467764447335993
ABCC6,ALG1,1,0.07473883162536933
ABCC6,ALG11,1,0.5737937478255127
ABCC6,ALG12,1,0.5919207950474922
ABCC6,ALG13,1,0.1423891835780468
ABCC6,ALG2,1,0.5054539497290484
ABCC6,ALG3,1,0.06516481748696897
ABCC6,ALG6,1,0.3991288230916701
ABCC6,ALG8,1,0.2862352664808224
ABCC6,ALG9,1,0.39241116040298113
ABCC6,ALMS1,1,0.025468222517375246
ABCC6,ALPL,1,0.7829413760243433
ABCC6,ALX3,1,0.4119926389515224
ABCC6,ALX4,1,0.5350105610992012
ABCC6,AMER1,1,0.8737624408780724
ABCC6,AMPD2,1,0.41924866506508834
ABCC6,AMT,1,0.14351410109596446
ABCC6,ANK3,1,0.8187641958797488
ABCC6,ANKH,1,0.4481408390492189
ABCC6,ANKRD11,1,0.1784974285834748
ABCC6,ANO10,1,0.3745416578700563
ABCC6,ANO5,1,0.18939023595676868
ABCC6,ANTXR1,1,0.5615047053063632
ABCC6,AP1S1,1,0.7164856911667419
ABCC6,AP1S2,1,0.5281708319197412
ABCC6,AP3B1,1,0.04331654899049322
ABCC6,AP3B2,1,0.33226222488685503
ABCC6,AP4B1,1,0.26420763721010854
ABCC6,AP4E1,1,0.12133124618419017
ABCC6,AP4M1,1,0.402894360770647
ABCC6,AP4S1,1,0.19659189987369904
ABCC6,APOPT1,1,0.06631791992866427
ABCC6,APTX,1,0.19529128748564437
ABCC6,ARCN1,1,0.5663704094665273
ABCC6,ARFGEF2,1,0.8337361934156343
ABCC9,AAAS,1,0.0014634681469791724
ABCC9,AARS,1,0.6302346705943661
ABCC9,AASS,1,0.21377501330684104
ABCC9,ABCB11,1,0.23528424666863076
ABCC9,ABCC6,1,0.5434628136897078
ABCC9,ABCD1,1,0.06916846761075962
ABCC9,ABCD4,1,0.9137499958069211
ABCC9,ABHD5,1,0.21843746043048629
ABCC9,ACAD9,1,0.18152414703670855
ABCC9,ACADM,1,0.6300265269798749
ABCC9,ACADS,1,0.27118820079768474
ABCC9,ACADVL,1,0.5142165343760571
ABCC9,ACAN,1,0.5714168963532855
ABCC9,ACAT1,1,0.06700356521617098
ABCC9,ACBD6,1,0.26941880152993336
ABCC9,ACO2,1,0.12037069764417682
ABCC9,ACOX1,1,0.9706510659013026
ABCC9,ACP5,1,0.32916739837061443
ABCC9,ACSL4,1,0.38568141600066475
ABCC9,ACTA2,1,0.12042505369041903
ABCC9,ACTB,1,0.9755945655812531
ABCC9,ACTG1,1,0.2896890630483062
ABCC9,ACTL6A,1,0.4040516839111898
ABCC9,ACVR1,1,0.16563018787502956
ABCC9,ACY1,1,0.055769411582868106
ABCC9,ADA,1,0.13459591901660073
ABCC9,ADAR,1,0.06168808888644944
ABCC9,ADAT3,1,0.1154730862882884
ABCC9,ADCK3,1,0.20356528811509114
ABCC9,ADCY5,1,0.6311887552312341
ABCC9,ADGRG1,1,0.6554827735408223
ABCC9,ADGRG6,1,0.854613818882672
ABCC9,ADK,1,0.04988477776927401
ABCC9,ADNP,1,0.05037244312796821
ABCC9,ADPRHL2,1,0.021850969402260206
ABCC9,ADRA2B,1,0.2822641360512606
ABCC9,ADSL,1,0.5260997307593815
ABCC9,AFF2,1,0.7055109933859879
ABCC9,AFF4,1,0.8569882804461105
ABCC9,AFG3L2,1,0.25319873221851524
ABCC9,AGA,1,0.9974375190223641
ABCC9,AGL,1,0.9915981744030355
ABCC9,AGPS,1,0.11545368387090166
ABCC9,AGTR2,NaN,NaN
ABCC9,AGXT,1,0.6648682366504125
ABCC9,AHCY,1,0.9411732581645835
ABCC9,AHDC1,1,0.5727996999494824
ABCC9,AHI1,1,0.06342722668160775
ABCC9,AIFM1,1,0.022889388517591158
ABCC9,AIMP1,1,0.12114328436777037
ABCC9,AIPL1,1,0.1788346586460856
ABCC9,AIRE,1,0.5950096131808058
ABCC9,AK1,1,0.4755988091355769
ABCC9,AK2,1,0.39642690790808044
ABCC9,AKR1D1,1,0.0711854913472891
ABCC9,AKT1,1,0.3615856776937146
ABCC9,AKT3,1,0.7109448191793889
ABCC9,ALAD,1,0.789687655174308
ABCC9,ALDH18A1,1,0.4338560621597652
ABCC9,ALDH3A2,1,0.6770686340082581
ABCC9,ALDH4A1,1,0.1958436166787877
ABCC9,ALDH5A1,1,0.7304595668466843
ABCC9,ALDH7A1,1,0.6115249610384202
ABCC9,ALDOA,1,0.10194630430341643
ABCC9,ALDOB,1,0.07399162744490115
ABCC9,ALG1,1,0.8493713949308428
ABCC9,ALG11,1,0.6925076022352006
ABCC9,ALG12,1,0.026658180637655102
ABCC9,ALG13,1,0.24072817898200924
ABCC9,ALG2,1,0.17704566727992582
ABCC9,ALG3,1,0.17273878985578794
ABCC9,ALG6,1,0.464781962920128
ABCC9,ALG8,1,0.010079052313105364
ABCC9,ALG9,1,0.6976255345735952
ABCC9,ALMS1,1,0.8398088336426182
ABCC9,ALPL,1,0.6974549855177969
ABCC9,ALX3,1,0.1132440936891688
ABCC9,ALX4,1,0.13252062912473528
ABCC9,AMER1,1,0.12604282196805722
ABCC9,AMPD2,1,0.4242471929245197
ABCC9,AMT,1,0.6676706133366798
ABCC9,ANK3,1,0.12461840432986243
ABCC9,ANKH,1,0.9621782777670648
ABCC9,ANKRD11,1,0.08265070039992094
ABCC9,ANO10,1,0.42682000942512266
ABCC9,ANO5,1,0.09585431053282917
ABCC9,ANTXR1,1,0.014968990716169106
ABCC9,AP1S1,1,0.01539272345507476
ABCC9,AP1S2,1,0.17567019460676392
ABCC9,AP3B1,1,0.5331046455010848
ABCC9,AP3B2,1,0.8289799259442542
ABCC9,AP4B1,1,0.5795148244500352
ABCC9,AP4E1,1,0.16204357608783368
ABCC9,AP4M1,1,0.9279842460362333
ABCC9,AP4S1,1,0.797920281964727
ABCC9,APOPT1,1,0.035647339259543345
ABCC9,APTX,1,0.01799955516367838
ABCC9,ARCN1,1,0.10568356535240868
ABCC9,ARFGEF2,1,0.15873898225009864
ABCD1,AAAS,1,0.014016917139196306
ABCD1,AARS,1,0.28526123371009504
ABCD1,AASS,1,0.01630186652372776
ABCD1,ABCB11,1,0.47421867642192567
ABCD1,ABCC6,1,0.6869647125177967
ABCD1,ABCC9,1,0.10137927830438058
ABCD1,ABCD4,1,0.38663153980022785
ABCD1,ABHD5,1,0.5828660596389459
ABCD1,ACAD9,1,0.23927922811822214
ABCD1,ACADM,1,0.8284497620025286
ABCD1,ACADS,1,0.3605155025285537
ABCD1,ACADVL,1,0.6287053117424043
ABCD1,ACAN,1,0.019685908853739574
ABCD1,ACAT1,1,0.188032814711692
ABCD1,ACBD6,1,0.08384179388264039
ABCD1,ACO2,1,0.07952309084687322
ABCD1,ACOX1,1,0.616231712710301
ABCD1,ACP5,1,0.17017875365823665
ABCD1,ACSL4,1,0.5228052711289807
ABCD1,ACTA2,1,0.07820679643668292
ABCD1,ACTB,1,0.8127096739172398
ABCD1,ACTG1,1,0.4611119096766788
ABCD1,ACTL6A,1,0.007009689840429431
ABCD1,ACVR1,1,0.12272970914438895
ABCD1,ACY1,1,0.10211714836815211
ABCD1,ADA,1,0.0056768555604200235
ABCD1,ADAR,1,0.49698250193699983
ABCD1,ADAT3,1,0.4820378435708933
ABCD1,ADCK3,1,0.19549915032747048
ABCD1,ADCY5,1,0.6616407595557859
ABCD1,ADGRG1,1,0.8280643593024506
ABCD1,ADGRG6,1,0.2813464155910865
ABCD1,ADK,1,0.3351123286652717
ABCD1,ADNP,1,0.002284498298102235
ABCD1,ADPRHL2,1,0.12787788834266228
ABCD1,ADRA2B,1,0.49281225383534416
ABCD1,ADSL,1,0.1517912297003072
ABCD1,AFF2,1,0.9960231193711424
ABCD1,AFF4,1,0.10133287446108821
ABCD1,AFG3L2,1,0.19123388398659727
ABCD1,AGA,1,0.05873766992716914
ABCD1,AGL,1,0.9550087754768467
ABCD1,AGPS,1,0.135546425754733
ABCD1,AGTR2,NaN,NaN
ABCD1,AGXT,1,0.7415332666177828
ABCD1,AHCY,1,0.1476348208573817
