gene1,gene2,lag,p-value
SOX11,WDR26,1,1.3640543395336426e-05
TAB2,GLUL,1,0.00019516914196579473
TAB2,MFSD2A,1,0.0002672360102010524
TAB2,TRMT1,1,0.0002844046143308072
TRIT1,OTUD6B,1,1.0289302404251928e-05
TRMT1,CDH11,1,0.0001596313147642839
WASF1,TRIP11,1,3.276575329474808e-05
WDR26,TBX5,1,0.00021991218931291832
AP4B1,CLCN7,1,0.00027950557034174745
APTX,CNOT3,1,0.00011110931858583719
APTX,PCGF2,1,6.303136261392752e-05
CACNA1D,IFT43,1,0.00029273562339094647
CACNA1D,MFSD2A,1,0.0002473188005402537
CEP152,TRIO,1,0.0001761225975220135
CLCN7,INPP5K,1,3.004719692527447e-05
CLCN7,PAFAH1B1,1,0.0001745907901530652
CLN3,CLCN7,1,9.688162858920757e-06
CTSD,GLI3,1,7.891846125399587e-05
DNMT3B,PEX14,1,5.3557599165949795e-05
FBXL4,EBF3,1,9.779104814122476e-05
FBXL4,TRIP11,1,4.060493260339289e-05
FGF12,WDR26,1,0.0001642611641370843
GLI3,KLHL15,1,0.0002731885130393761
GLI3,NDUFS3,1,0.0002551799228620644
GLI3,WDR26,1,0.00022202562594001823
GNPTAB,PIGV,1,6.206225095156529e-05
HNRNPU,WDR26,1,0.00016389461587926196
HSF4,PIGV,1,0.0002445634010443328
LHX3,ARV1,1,0.00010398502238467135
LHX3,NDUFV1,1,0.0001858310760856422
MAP3K1,FBXL4,1,6.979739862719366e-05
MFSD2A,GABRB2,1,9.670848936058867e-05
NPHS1,ALDH4A1,1,3.317304036687195e-05
NPHS1,ELP2,1,0.000129107530961281
PCGF2,PEX14,1,0.0002639546016323735
PEX14,AP1S2,1,3.401783882520108e-05
PIGV,WDR26,1,0.00012280471608261878
POLR1C,TSC2,1,2.1482885968396827e-05
POMGNT1,SMPD4,1,0.00011093057792508033
PRKD1,TRIO,1,5.50145351456364e-05
PRRT2,IGF1R,1,6.653212873723397e-05
PTEN,FH,1,7.144501718057801e-05
PTEN,OTULIN,1,0.00023366394487167835
RARS2,AP4B1,1,0.00024343657588616572
SMPD4,MFSD2A,1,5.5582255873426726e-05
SOX11,WDR26,1,1.3640543395336426e-05
SPEG,APTX,1,1.77830836717141e-05
TRMT1,CDH11,1,0.0001596313147642839
TSC2,CLN8,1,4.5572325193977944e-05
UBE3B,SOX11,1,0.00025274047474482944
WDR26,TBX5,1,0.00021991218931291832
ABCC6,EBF3,1,7.359568757227792e-05
APTX,CNOT3,1,0.00011110931858583719
CACNA1D,IFT43,1,0.00029273562339094647
CDK5RAP2,CLN3,1,0.00019896485534637407
CEP152,TRIO,1,0.0001761225975220135
CLCN7,INPP5K,1,3.004719692527447e-05
CLCN7,PAFAH1B1,1,0.0001745907901530652
CLN3,CLCN7,1,9.688162858920757e-06
CLN3,SLC9A6,1,0.0001502220480963395
